"FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"3","Other wooded land","2005","4054","Western Sahara","0",""
"3","Other wooded land","2005","4922016","Wallis and Futuna Islands","1.67",""
"3","Other wooded land","2005","79","Viet Nam","1791",""
"3","Other wooded land","2005","214","Venezuela (Bolivarian Republic of)","7369",""
"3","Other wooded land","2005","122","Vanuatu","476",""
"3","Other wooded land","2005","170","Uzbekistan","904",""
"3","Other wooded land","2005","217","Uruguay","4",""
"3","Other wooded land","2005","200","United States of America","14933",""
"3","Other wooded land","2010","80","Andorra","0",""
"3","Other wooded land","2010","109","American Samoa","0",""
"3","Other wooded land","2010","45","Algeria","2685",""
"3","Other wooded land","2010","144","Albania","255.2",""
"3","Other wooded land","2010","86","Afghanistan","29471",""
"3","Other wooded land","2005","21","Zimbabwe","0",""
"3","Other wooded land","2005","20","Zambia","6042",""
"3","Other wooded land","2005","101","Yemen","1406",""
"3","Other wooded land","2005","99","Turkey","10534",""
"3","Other wooded land","2005","168","Turkmenistan","0",""
"3","Other wooded land","2005","199","Trinidad and Tobago","80.1",""
"3","Other wooded land","2005","54","Tunisia","307",""
"3","Other wooded land","2005","642354615","Tokelau","0",""
"3","Other wooded land","2005","121","Tonga","0",""
"3","Other wooded land","2005","7655420","Timor-Leste","0",""
"3","Other wooded land","2005","3","Togo","1246",""
"3","Other wooded land","2005","19","United Republic of Tanzania","13260",""
"3","Other wooded land","2005","202","United States Virgin Islands","0",""
"3","Other wooded land","2005","100","United Arab Emirates","4.1",""
"3","Other wooded land","2005","143","United Kingdom","20",""
"3","Other wooded land","2005","56","Uganda","2880",""
"3","Other wooded land","2005","169","Ukraine","41",""
"3","Other wooded land","2005","7665808","Turks and Caicos Islands","0",""
"3","Other wooded land","2005","4921972","Tuvalu","0",""
"3","Other wooded land","2005","37","Sri Lanka","0",""
"3","Other wooded land","2005","50","Spain","10265.26",""
"3","Other wooded land","2005","213","Suriname","0",""
"3","Other wooded land","2005","74","Sudan","52188",""
"3","Other wooded land","2005","120","Solomon Islands","129",""
"3","Other wooded land","2005","154","Slovenia","29",""
"3","Other wooded land","2005","28","South Africa","24558",""
"3","Other wooded land","2005","46","Somalia","0",""
"3","Other wooded land","2005","167","Tajikistan","142",""
"3","Other wooded land","2005","98","Syrian Arab Republic","35",""
"3","Other wooded land","2005","151","The former Yugoslav Republic of Macedonia","143",""
"3","Other wooded land","2005","41","Thailand","0",""
"3","Other wooded land","2005","29","Swaziland","358",""
"3","Other wooded land","2005","643000374","Svalbard and Jan Mayen Islands","0",""
"3","Other wooded land","2005","142","Switzerland","67",""
"3","Other wooded land","2005","128","Sweden","3044",""
"3","Other wooded land","2005","198","Saint Vincent and the Grenadines","0",""
"3","Other wooded land","2005","643000373","Saint-Barthélemy","0.5",""
"3","Other wooded land","2005","119","Samoa","22",""
"3","Other wooded land","2005","7655310","San Marino","0",""
"3","Other wooded land","2005","195","Saint Kitts and Nevis","2.2",""
"3","Other wooded land","2005","196","Saint Lucia","0",""
"3","Other wooded land","2005","643000375","Saint Martin (French part)","1",""
"3","Other wooded land","2005","197","Saint Pierre and Miquelon","0",""
"3","Other wooded land","2005","26","Seychelles","0",""
"3","Other wooded land","2005","2","Sierra Leone","314",""
"3","Other wooded land","2005","85","Singapore","0",""
"3","Other wooded land","2005","153","Slovakia","0",""
"3","Other wooded land","2005","11","Sao Tome and Principe","29",""
"3","Other wooded land","2005","97","Saudi Arabia","1117",""
"3","Other wooded land","2005","71","Senegal","5001",""
"3","Other wooded land","2005","155","Serbia","521",""
"3","Other wooded land","2010","195","Saint Kitts and Nevis","2.2",""
"3","Other wooded land","2010","18","Saint Helena","0",""
"3","Other wooded land","2010","643000375","Saint Martin (French part)","1",""
"3","Other wooded land","2010","196","Saint Lucia","0",""
"3","Other wooded land","2010","198","Saint Vincent and the Grenadines","0",""
"3","Other wooded land","2010","197","Saint Pierre and Miquelon","0",""
"3","Other wooded land","2010","119","Samoa","22",""
"3","Other wooded land","2010","643000373","Saint-Barthélemy","0.5",""
"3","Other wooded land","2010","96","Qatar","0.5",""
"3","Other wooded land","2010","7665786","Puerto Rico","0",""
"3","Other wooded land","2010","165","Republic of Moldova","70",""
"3","Other wooded land","2010","106","Republic of Korea","0",""
"3","Other wooded land","2010","166","Russian Federation","73220",""
"3","Other wooded land","2010","152","Romania","160",""
"3","Other wooded land","2010","25","Réunion","51",""
"3","Other wooded land","2010","10","Rwanda","61",""
"3","Other wooded land","2010","153","Slovakia","0",""
"3","Other wooded land","2010","154","Slovenia","21",""
"3","Other wooded land","2010","120","Solomon Islands","129",""
"3","Other wooded land","2010","46","Somalia","0",""
"3","Other wooded land","2010","28","South Africa","24558",""
"3","Other wooded land","2010","50","Spain","9574.4",""
"3","Other wooded land","2010","37","Sri Lanka","0",""
"3","Other wooded land","2010","74","Sudan","50224",""
"3","Other wooded land","2010","7655310","San Marino","0",""
"3","Other wooded land","2010","11","Sao Tome and Principe","29",""
"3","Other wooded land","2010","97","Saudi Arabia","1117",""
"3","Other wooded land","2010","71","Senegal","4911",""
"3","Other wooded land","2010","155","Serbia","410",""
"3","Other wooded land","2010","26","Seychelles","0",""
"3","Other wooded land","2010","2","Sierra Leone","189",""
"3","Other wooded land","2010","85","Singapore","0",""
"3","Other wooded land","2010","115","New Caledonia","371",""
"3","Other wooded land","2010","194","Netherlands Antilles","32.69",""
"3","Other wooded land","2010","140","Netherlands","0",""
"3","Other wooded land","2010","35","Nepal","1897",""
"3","Other wooded land","2010","1","Nigeria","4088",""
"3","Other wooded land","2010","70","Niger","3440",""
"3","Other wooded land","2010","177","Nicaragua","2219",""
"3","Other wooded land","2010","124","New Zealand","2557",""
"3","Other wooded land","2010","57","Morocco","631",""
"3","Other wooded land","2010","193","Montserrat","1.6",""
"3","Other wooded land","2010","643000290","Montenegro","175",""
"3","Other wooded land","2010","107","Mongolia","1947",""
"3","Other wooded land","2010","5293372","Nauru","0",""
"3","Other wooded land","2010","17","Namibia","8290",""
"3","Other wooded land","2010","40","Myanmar","20113",""
"3","Other wooded land","2010","16","Mozambique","14566",""
"3","Other wooded land","2010","211","Paraguay","0",""
"3","Other wooded land","2010","212","Peru","22132",""
"3","Other wooded land","2010","178","Panama","821",""
"3","Other wooded land","2010","118","Papua New Guinea","4474",""
"3","Other wooded land","2010","150","Poland","0",""
"3","Other wooded land","2010","141","Portugal","155",""
"3","Other wooded land","2010","84","Philippines","10128",""
"3","Other wooded land","2010","7661984","Pitcairn","0.5",""
"3","Other wooded land","2010","5293394","Northern Mariana Islands","0",""
"3","Other wooded land","2010","126","Norway","2703",""
"3","Other wooded land","2010","116","Niue","0",""
"3","Other wooded land","2010","643000372","Norfolk Island","0",""
"3","Other wooded land","2010","36","Pakistan","1455",""
"3","Other wooded land","2010","5294032","Palau","0",""
"3","Other wooded land","2010","6008","Occupied Palestinian Territory","0",""
"3","Other wooded land","2010","95","Oman","1303",""
"3","Other wooded land","2010","78","Liberia","0",""
"3","Other wooded land","2010","27","Lesotho","97",""
"3","Other wooded land","2010","138","Liechtenstein","0.5",""
"3","Other wooded land","2010","58","Libyan Arab Jamahiriya","330",""
"3","Other wooded land","2010","39","Lao People's Democratic Republic","4834",""
"3","Other wooded land","2010","162","Kyrgyzstan","390.1",""
"3","Other wooded land","2010","94","Lebanon","106",""
"3","Other wooded land","2010","163","Latvia","113",""
"3","Other wooded land","2010","73","Kenya","28650",""
"3","Other wooded land","2010","161","Kazakhstan","16479",""
"3","Other wooded land","2010","93","Kuwait","0",""
"3","Other wooded land","2010","114","Kiribati","0",""
"3","Other wooded land","2010","103","Japan","0",""
"3","Other wooded land","2010","191","Jamaica","187.6",""
"3","Other wooded land","2010","92","Jordan","51",""
"3","Other wooded land","2010","643000371","Jersey","0",""
"3","Other wooded land","2010","7661379","Mayotte","0.361",""
"3","Other wooded land","2010","176","Mexico","20181",""
"3","Other wooded land","2010","4921994","Micronesia (Federated States of)","0",""
"3","Other wooded land","2010","7655168","Monaco","0",""
"3","Other wooded land","2010","5293301","Marshall Islands","0",""
"3","Other wooded land","2010","192","Martinique","1.1",""
"3","Other wooded land","2010","69","Mauritania","3060",""
"3","Other wooded land","2010","24","Mauritius","12.2",""
"3","Other wooded land","2010","83","Malaysia","0",""
"3","Other wooded land","2010","34","Maldives","0",""
"3","Other wooded land","2010","68","Mali","8227",""
"3","Other wooded land","2010","139","Malta","0",""
"3","Other wooded land","2010","164","Lithuania","80",""
"3","Other wooded land","2010","131","Luxembourg","1.4",""
"3","Other wooded land","2010","23","Madagascar","15688",""
"3","Other wooded land","2010","15","Malawi","0",""
"3","Other wooded land","2010","643000370","Guernsey","0",""
"3","Other wooded land","2010","174","Guatemala","1672",""
"3","Other wooded land","2010","113","Guam","0",""
"3","Other wooded land","2010","189","Guadeloupe","2.5",""
"3","Other wooded land","2010","188","Grenada","1.23",""
"3","Other wooded land","2010","4103","Greenland","7.5",""
"3","Other wooded land","2010","135","Greece","2636",""
"3","Other wooded land","2010","7655146","Gibraltar","0",""
"3","Other wooded land","2010","76","Ghana","0",""
"3","Other wooded land","2010","134","Germany","0",""
"3","Other wooded land","2010","160","Georgia","50.83",""
"3","Other wooded land","2010","66","Gambia","103",""
"3","Other wooded land","2010","9","Gabon","0",""
"3","Other wooded land","2010","112","French Polynesia","0",""
"3","Other wooded land","2010","209","French Guiana","0",""
"3","Other wooded land","2010","133","France","1618",""
"3","Other wooded land","2010","91","Israel","33",""
"3","Other wooded land","2010","137","Italy","1767",""
"3","Other wooded land","2010","136","Ireland","50",""
"3","Other wooded land","2010","7655849","Isle of Man","0",""
"3","Other wooded land","2010","89","Iran (Islamic Republic of)","5340",""
"3","Other wooded land","2010","90","Iraq","259",""
"3","Other wooded land","2010","33","India","3267",""
"3","Other wooded land","2010","82","Indonesia","21003",""
"3","Other wooded land","2010","149","Hungary","0",""
"3","Other wooded land","2010","127","Iceland","86.1",""
"3","Other wooded land","2010","7657948","Holy See","0",""
"3","Other wooded land","2010","175","Honduras","1475",""
"3","Other wooded land","2010","210","Guyana","3580",""
"3","Other wooded land","2010","190","Haiti","0",""
"3","Other wooded land","2010","77","Guinea","5850",""
"3","Other wooded land","2010","67","Guinea-Bissau","230",""
"3","Other wooded land","2010","4054","Western Sahara","0",""
"3","Other wooded land","2010","101","Yemen","1406",""
"3","Other wooded land","2010","20","Zambia","6075",""
"3","Other wooded land","2010","21","Zimbabwe","0",""
"3","Other wooded land","2010","167","Tajikistan","142",""
"3","Other wooded land","2010","41","Thailand","0",""
"3","Other wooded land","2010","142","Switzerland","71",""
"3","Other wooded land","2010","98","Syrian Arab Republic","35",""
"3","Other wooded land","2010","29","Swaziland","427",""
"3","Other wooded land","2010","128","Sweden","3044",""
"3","Other wooded land","2010","213","Suriname","0",""
"3","Other wooded land","2010","643000374","Svalbard and Jan Mayen Islands","0",""
"3","Other wooded land","2010","54","Tunisia","300",""
"3","Other wooded land","2010","99","Turkey","10368",""
"3","Other wooded land","2010","121","Tonga","0",""
"3","Other wooded land","2010","199","Trinidad and Tobago","83.7",""
"3","Other wooded land","2010","3","Togo","1246",""
"3","Other wooded land","2010","642354615","Tokelau","0",""
"3","Other wooded land","2010","151","The former Yugoslav Republic of Macedonia","143",""
"3","Other wooded land","2010","7655420","Timor-Leste","0",""
"3","Other wooded land","2010","19","United Republic of Tanzania","11619",""
"3","Other wooded land","2010","143","United Kingdom","20",""
"3","Other wooded land","2010","100","United Arab Emirates","4.3",""
"3","Other wooded land","2010","169","Ukraine","41",""
"3","Other wooded land","2010","56","Uganda","3383",""
"3","Other wooded land","2010","4921972","Tuvalu","0",""
"3","Other wooded land","2010","7665808","Turks and Caicos Islands","0",""
"3","Other wooded land","2010","168","Turkmenistan","0",""
"3","Other wooded land","2010","4922016","Wallis and Futuna Islands","1.53",""
"3","Other wooded land","2010","79","Viet Nam","1124",""
"3","Other wooded land","2010","214","Venezuela (Bolivarian Republic of)","7317",""
"3","Other wooded land","2010","122","Vanuatu","476",""
"3","Other wooded land","2010","170","Uzbekistan","874",""
"3","Other wooded land","2010","217","Uruguay","4",""
"3","Other wooded land","2010","200","United States of America","14933",""
"3","Other wooded land","2010","202","United States Virgin Islands","0",""
"1","Inland water","1990","92","Jordan","54",""
"1","Inland water","1990","161","Kazakhstan","2520",""
"1","Inland water","1990","73","Kenya","1123",""
"1","Inland water","1990","114","Kiribati","0",""
"1","Inland water","1990","93","Kuwait","0",""
"1","Inland water","1990","162","Kyrgyzstan","810",""
"1","Inland water","1990","39","Lao People's Democratic Republic","600",""
"1","Inland water","1990","163","Latvia","255",""
"1","Inland water","1990","94","Lebanon","17",""
"1","Inland water","1990","27","Lesotho","0",""
"1","Inland water","1990","78","Liberia","1505",""
"1","Inland water","1990","58","Libyan Arab Jamahiriya","0",""
"1","Inland water","1990","138","Liechtenstein","0",""
"1","Inland water","1990","164","Lithuania","262",""
"1","Inland water","1990","131","Luxembourg","0",""
"1","Inland water","1990","23","Madagascar","550",""
"1","Inland water","1990","83","Malaysia","119",""
"1","Inland water","1990","15","Malawi","2440",""
"1","Inland water","1990","68","Mali","2000",""
"1","Inland water","1990","34","Maldives","0",""
"1","Inland water","1990","5293301","Marshall Islands","0",""
"1","Inland water","1990","139","Malta","0",""
"1","Inland water","1990","69","Mauritania","0",""
"1","Inland water","1990","192","Martinique","4",""
"1","Inland water","1990","7661379","Mayotte","0",""
"1","Inland water","1990","24","Mauritius","1",""
"1","Inland water","1990","4921994","Micronesia (Federated States of)","0.253",""
"1","Inland water","1990","176","Mexico","2043",""
"1","Inland water","1990","107","Mongolia","0",""
"1","Inland water","1990","7655168","Monaco","0",""
"1","Inland water","1990","193","Montserrat","0",""
"1","Inland water","1990","643000290","Montenegro","36",""
"1","Inland water","1990","160","Georgia","21",""
"1","Inland water","1990","134","Germany","828",""
"1","Inland water","1990","9","Gabon","1000",""
"1","Inland water","1990","66","Gambia","130",""
"1","Inland water","1990","135","Greece","306",""
"1","Inland water","1990","4103","Greenland","0",""
"1","Inland water","1990","76","Ghana","1100",""
"1","Inland water","1990","7655146","Gibraltar","0",""
"1","Inland water","1990","113","Guam","0",""
"1","Inland water","1990","174","Guatemala","46",""
"1","Inland water","1990","188","Grenada","0",""
"1","Inland water","1990","189","Guadeloupe","1.9",""
"1","Inland water","1990","67","Guinea-Bissau","800",""
"1","Inland water","1990","210","Guyana","1812",""
"1","Inland water","1990","643000370","Guernsey","0",""
"1","Inland water","1990","77","Guinea","14",""
"1","Inland water","1990","149","Hungary","316",""
"1","Inland water","1990","175","Honduras","20",""
"1","Inland water","1990","7657948","Holy See","0",""
"1","Inland water","1990","190","Haiti","19",""
"1","Inland water","1990","89","Iran (Islamic Republic of)","11660",""
"1","Inland water","1990","82","Indonesia","9300",""
"1","Inland water","1990","33","India","31407",""
"1","Inland water","1990","127","Iceland","275",""
"1","Inland water","1990","91","Israel","43",""
"1","Inland water","1990","7655849","Isle of Man","0.103",""
"1","Inland water","1990","136","Ireland","138",""
"1","Inland water","1990","90","Iraq","95",""
"1","Inland water","1990","643000371","Jersey","0.1",""
"1","Inland water","1990","103","Japan","1320",""
"1","Inland water","1990","191","Jamaica","16",""
"1","Inland water","1990","137","Italy","723",""
"1","Inland water","1990","25","Réunion","1",""
"1","Inland water","1990","18","Saint Helena","0",""
"1","Inland water","1990","195","Saint Kitts and Nevis","0",""
"1","Inland water","1990","196","Saint Lucia","1",""
"1","Inland water","1990","165","Republic of Moldova","96",""
"1","Inland water","1990","152","Romania","841",""
"1","Inland water","1990","166","Russian Federation","71690",""
"1","Inland water","1990","10","Rwanda","167",""
"1","Inland water","1990","119","Samoa","1",""
"1","Inland water","1990","7655310","San Marino","0",""
"1","Inland water","1990","11","Sao Tome and Principe","0",""
"1","Inland water","1990","97","Saudi Arabia","0",""
"1","Inland water","1990","643000375","Saint Martin (French part)","0.1",""
"1","Inland water","1990","197","Saint Pierre and Miquelon","1",""
"1","Inland water","1990","198","Saint Vincent and the Grenadines","0",""
"1","Inland water","1990","643000373","Saint-Barthélemy","0",""
"1","Inland water","1990","153","Slovakia","93",""
"1","Inland water","1990","85","Singapore","1",""
"1","Inland water","1990","120","Solomon Islands","91",""
"1","Inland water","1990","154","Slovenia","13",""
"1","Inland water","1990","155","Serbia","90",""
"1","Inland water","1990","71","Senegal","419",""
"1","Inland water","1990","2","Sierra Leone","12",""
"1","Inland water","1990","26","Seychelles","0",""
"1","Inland water","1990","213","Suriname","727",""
"1","Inland water","1990","74","Sudan","12981",""
"1","Inland water","1990","29","Swaziland","16",""
"1","Inland water","1990","643000374","Svalbard and Jan Mayen Islands","40",""
"1","Inland water","1990","28","South Africa","462",""
"1","Inland water","1990","46","Somalia","1032",""
"1","Inland water","1990","37","Sri Lanka","98",""
"1","Inland water","1990","50","Spain","618",""
"1","Inland water","1990","140","Netherlands","765",""
"1","Inland water","1990","194","Netherlands Antilles","0",""
"1","Inland water","1990","5293372","Nauru","0",""
"1","Inland water","1990","35","Nepal","418",""
"1","Inland water","1990","40","Myanmar","1903",""
"1","Inland water","1990","17","Namibia","100",""
"1","Inland water","1990","57","Morocco","25",""
"1","Inland water","1990","16","Mozambique","1300",""
"1","Inland water","1990","643000372","Norfolk Island","0",""
"1","Inland water","1990","5293394","Northern Mariana Islands","0",""
"1","Inland water","1990","1","Nigeria","1300",""
"1","Inland water","1990","116","Niue","0",""
"1","Inland water","1990","177","Nicaragua","860",""
"1","Inland water","1990","70","Niger","30",""
"1","Inland water","1990","115","New Caledonia","30",""
"1","Inland water","1990","124","New Zealand","0",""
"1","Inland water","1990","211","Paraguay","945",""
