"FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Planted forest","2010","134","Germany","5283",""
"1","Planted forest","2010","76","Ghana","260",""
"1","Planted forest","2010","66","Gambia","1.4",""
"1","Planted forest","2010","160","Georgia","183.6",""
"1","Planted forest","2010","4103","Greenland","0.22",""
"1","Planted forest","2010","188","Grenada","0.21",""
"1","Planted forest","2010","7655146","Gibraltar","0",""
"1","Planted forest","2010","135","Greece","140",""
"1","Planted forest","2010","77","Guinea","93",""
"1","Planted forest","2010","67","Guinea-Bissau","0.71",""
"1","Planted forest","2010","189","Guadeloupe","4.2",""
"1","Planted forest","2010","174","Guatemala","173",""
"1","Planted forest","2010","7657948","Holy See","0",""
"1","Planted forest","2010","175","Honduras","0",""
"1","Planted forest","2010","210","Guyana","0",""
"1","Planted forest","2010","190","Haiti","28",""
"1","Planted forest","2010","82","Indonesia","3549",""
"1","Planted forest","2010","33","India","10211",""
"1","Planted forest","2010","127","Iceland","26.9",""
"1","Planted forest","2010","149","Hungary","1612",""
"1","Planted forest","2010","91","Israel","88",""
"1","Planted forest","2010","136","Ireland","657",""
"1","Planted forest","2010","90","Iraq","15",""
"1","Planted forest","2010","89","Iran (Islamic Republic of)","844",""
"1","Planted forest","2010","92","Jordan","46.9",""
"1","Planted forest","2010","103","Japan","10326",""
"1","Planted forest","2010","191","Jamaica","7.3",""
"1","Planted forest","2010","137","Italy","621",""
"1","Planted forest","2010","93","Kuwait","6.25",""
"1","Planted forest","2010","114","Kiribati","0",""
"1","Planted forest","2010","73","Kenya","197",""
"1","Planted forest","2010","161","Kazakhstan","901",""
"1","Planted forest","2010","65","Chad","17",""
"1","Planted forest","2010","216","Chile","2384",""
"1","Planted forest","2010","102","China","77157",""
"1","Planted forest","2010","207","Colombia","405",""
"1","Planted forest","2010","22","Comoros","1",""
"1","Planted forest","2010","7","Congo","75",""
"1","Planted forest","2010","110","Cook Islands","1.1",""
"1","Planted forest","2010","172","Costa Rica","240.74",""
"1","Planted forest","2010","147","Croatia","70",""
"1","Planted forest","2010","185","Cuba","486",""
"1","Planted forest","2010","88","Cyprus","30.524",""
"1","Planted forest","2010","148","Czech Republic","2635",""
"1","Planted forest","2010","75","Côte d'Ivoire","337",""
"1","Planted forest","2010","105","Democratic People's Republic of Korea","781",""
"1","Planted forest","2010","12","Democratic Republic of the Congo","58.779",""
"1","Planted forest","2010","132","Denmark","407",""
"1","Planted forest","2010","186","Dominica","0.1",""
"1","Planted forest","2010","72","Djibouti","0",""
"1","Planted forest","2010","53","Egypt","70",""
"1","Planted forest","2010","208","Ecuador","167",""
"1","Planted forest","2010","8","Equatorial Guinea","0.125",""
"1","Planted forest","2010","173","El Salvador","15",""
"1","Planted forest","2010","159","Estonia","168",""
"1","Planted forest","2010","62","Eritrea","33.6",""
"1","Planted forest","2010","7653870","Falkland Islands","0",""
"1","Planted forest","2010","60","Ethiopia","511",""
"1","Planted forest","2010","125","Finland","5904",""
"1","Planted forest","2010","111","Fiji","176.506",""
"1","Planted forest","2010","209","French Guiana","0.7",""
"1","Planted forest","2010","133","France","1633",""
"1","Planted forest","2010","9","Gabon","30",""
"1","Planted forest","2010","112","French Polynesia","10",""
"1","Planted forest","2010","13","Angola","128",""
"1","Planted forest","2010","215","Argentina","1394",""
