"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Other wooded land","1","Total growing stock","2005","178","Panama","15",""
"1","Other wooded land","1","Total growing stock","2005","118","Papua New Guinea","69",""
"1","Other wooded land","1","Total growing stock","2005","6008","Occupied Palestinian Territory","0",""
"1","Other wooded land","1","Total growing stock","2005","5294032","Palau","0",""
"1","Other wooded land","1","Total growing stock","2005","141","Portugal","1.79",""
"1","Other wooded land","1","Total growing stock","2005","106","Republic of Korea","0",""
"1","Other wooded land","1","Total growing stock","2005","84","Philippines","184.7",""
"1","Other wooded land","1","Total growing stock","2005","150","Poland","0",""
"1","Other wooded land","1","Total growing stock","2005","10","Rwanda","1.83",""
"1","Other wooded land","1","Total growing stock","2005","25","Réunion","1.1",""
"1","Other wooded land","1","Total growing stock","2005","165","Republic of Moldova","3.4",""
"1","Other wooded land","1","Total growing stock","2005","166","Russian Federation","1651.05",""
"1","Other wooded land","1","Total growing stock","2005","198","Saint Vincent and the Grenadines","0",""
"1","Other wooded land","1","Total growing stock","2005","7655310","San Marino","0",""
"1","Other wooded land","1","Total growing stock","2005","196","Saint Lucia","0",""
"1","Other wooded land","1","Total growing stock","2005","197","Saint Pierre and Miquelon","0",""
"1","Other wooded land","1","Total growing stock","2005","107","Mongolia","1.6",""
"1","Other wooded land","1","Total growing stock","2005","7655168","Monaco","0",""
"1","Other wooded land","1","Total growing stock","2005","4921994","Micronesia (Federated States of)","0",""
"1","Other wooded land","1","Total growing stock","2005","176","Mexico","36.4",""
"1","Other wooded land","1","Total growing stock","2005","5293372","Nauru","0",""
"1","Other wooded land","1","Total growing stock","2005","17","Namibia","44",""
"1","Other wooded land","1","Total growing stock","2005","16","Mozambique","290",""
"1","Other wooded land","1","Total growing stock","2005","57","Morocco","1.01",""
"1","Other wooded land","1","Total growing stock","2005","70","Niger","12",""
"1","Other wooded land","1","Total growing stock","2005","124","New Zealand","258",""
"1","Other wooded land","1","Total growing stock","2005","140","Netherlands","0",""
"1","Other wooded land","1","Total growing stock","2005","35","Nepal","67",""
"1","Other wooded land","1","Total growing stock","2005","126","Norway","34",""
"1","Other wooded land","1","Total growing stock","2005","5293394","Northern Mariana Islands","0",""
"1","Other wooded land","1","Total growing stock","2005","643000372","Norfolk Island","0",""
"1","Other wooded land","1","Total growing stock","2005","116","Niue","0",""
"1","Other wooded land","1","Total growing stock","2005","121","Tonga","0",""
"1","Other wooded land","1","Total growing stock","2005","199","Trinidad and Tobago","1.49",""
"1","Other wooded land","1","Total growing stock","2005","54","Tunisia","1.1",""
"1","Other wooded land","1","Total growing stock","2005","99","Turkey","89.151",""
"1","Other wooded land","1","Total growing stock","2005","7665808","Turks and Caicos Islands","0",""
"1","Other wooded land","1","Total growing stock","2005","4921972","Tuvalu","0",""
"1","Other wooded land","1","Total growing stock","2005","56","Uganda","20.7",""
"1","Other wooded land","1","Total growing stock","2005","100","United Arab Emirates","0.102",""
"1","Other wooded land","1","Total growing stock","2005","143","United Kingdom","1",""
"1","Other wooded land","1","Total growing stock","2005","19","United Republic of Tanzania","132",""
"1","Other wooded land","1","Total growing stock","2005","4054","Western Sahara","0",""
"1","Other wooded land","1","Total growing stock","2005","101","Yemen","11.95",""
"1","Other wooded land","1","Total growing stock","2005","20","Zambia","58",""
"1","Other wooded land","1","Total growing stock","2010","144","Albania","7.3",""
"1","Other wooded land","1","Total growing stock","2010","45","Algeria","9.9",""
"1","Other wooded land","1","Total growing stock","2010","109","American Samoa","0",""
"1","Other wooded land","1","Total growing stock","2005","71","Senegal","23",""
"1","Other wooded land","1","Total growing stock","2005","97","Saudi Arabia","5.6",""
"1","Other wooded land","1","Total growing stock","2005","2","Sierra Leone","4.71",""
"1","Other wooded land","1","Total growing stock","2005","155","Serbia","3",""
"1","Other wooded land","1","Total growing stock","2005","154","Slovenia","1.7",""
"1","Other wooded land","1","Total growing stock","2005","85","Singapore","0",""
"1","Other wooded land","1","Total growing stock","2005","50","Spain","1.62",""
"1","Other wooded land","1","Total growing stock","2005","28","South Africa","491",""
"1","Other wooded land","1","Total growing stock","2005","643000374","Svalbard and Jan Mayen Islands","0",""
"1","Other wooded land","1","Total growing stock","2005","74","Sudan","418",""
"1","Other wooded land","1","Total growing stock","2005","128","Sweden","11",""
"1","Other wooded land","1","Total growing stock","2005","29","Swaziland","4.2",""
"1","Other wooded land","1","Total growing stock","2005","167","Tajikistan","0.5",""
"1","Other wooded land","1","Total growing stock","2005","142","Switzerland","0.57",""
"1","Other wooded land","1","Total growing stock","2005","642354615","Tokelau","0",""
"1","Other wooded land","1","Total growing stock","2005","7655420","Timor-Leste","0",""
"1","Other wooded land","1","Total growing stock","2005","110","Cook Islands","0",""
"1","Other wooded land","1","Total growing stock","2005","147","Croatia","4.98",""
"1","Other wooded land","1","Total growing stock","2005","102","China","1068.4",""
"1","Other wooded land","1","Total growing stock","2005","7","Congo","480",""
"1","Other wooded land","1","Total growing stock","2005","184","Cayman Islands","0",""
"1","Other wooded land","1","Total growing stock","2005","65","Chad","67",""
"1","Other wooded land","1","Total growing stock","2005","63","Burkina Faso","78",""
"1","Other wooded land","1","Total growing stock","2005","5","Cameroon","244",""
"1","Other wooded land","1","Total growing stock","2005","7653870","Falkland Islands","0",""
"1","Other wooded land","1","Total growing stock","2005","125","Finland","10.245",""
"1","Other wooded land","1","Total growing stock","2005","159","Estonia","5.5",""
"1","Other wooded land","1","Total growing stock","2005","60","Ethiopia","103.2",""
"1","Other wooded land","1","Total growing stock","2005","132","Denmark","1.1",""
"1","Other wooded land","1","Total growing stock","2005","53","Egypt","0.22",""
"1","Other wooded land","1","Total growing stock","2005","148","Czech Republic","0",""
"1","Other wooded land","1","Total growing stock","2005","105","Democratic People's Republic of Korea","0",""
"1","Other wooded land","1","Total growing stock","2005","144","Albania","7.9",""
"1","Other wooded land","1","Total growing stock","2000","20","Zambia","57.68",""
"1","Other wooded land","1","Total growing stock","2000","101","Yemen","11.95",""
"1","Other wooded land","1","Total growing stock","2000","4054","Western Sahara","0",""
"1","Other wooded land","1","Total growing stock","2000","19","United Republic of Tanzania","149",""
"1","Other wooded land","1","Total growing stock","2000","143","United Kingdom","1",""
"1","Other wooded land","1","Total growing stock","2000","100","United Arab Emirates","0.1",""
"1","Other wooded land","1","Total growing stock","2000","56","Uganda","17.1",""
"1","Other wooded land","1","Total growing stock","2005","81","Brunei Darussalam","1.24",""
"1","Other wooded land","1","Total growing stock","2005","182","Bermuda","0",""
"1","Other wooded land","1","Total growing stock","2005","7656243","Aruba","0",""
"1","Other wooded land","1","Total growing stock","2005","156","Armenia","0.8",""
"1","Other wooded land","1","Total growing stock","2005","215","Argentina","860",""
"1","Other wooded land","1","Total growing stock","2005","7656221","Anguilla","0",""
"1","Other wooded land","1","Total growing stock","2005","109","American Samoa","0",""
"1","Other wooded land","1","Total growing stock","2005","45","Algeria","9.4",""
"1","Other wooded land","1","Total growing stock","2005","163","Latvia","2",""
"1","Other wooded land","1","Total growing stock","2005","94","Lebanon","0.533",""
"1","Other wooded land","1","Total growing stock","2005","27","Lesotho","1.09",""
"1","Other wooded land","1","Total growing stock","2005","58","Libyan Arab Jamahiriya","4.125",""
"1","Other wooded land","1","Total growing stock","2005","73","Kenya","459.4",""
"1","Other wooded land","1","Total growing stock","2005","114","Kiribati","0",""
"1","Other wooded land","1","Total growing stock","2005","93","Kuwait","0",""
"1","Other wooded land","1","Total growing stock","2005","39","Lao People's Democratic Republic","32",""
"1","Other wooded land","1","Total growing stock","2005","139","Malta","0",""
"1","Other wooded land","1","Total growing stock","2005","5293301","Marshall Islands","0",""
"1","Other wooded land","1","Total growing stock","2005","69","Mauritania","31.1",""
"1","Other wooded land","1","Total growing stock","2005","24","Mauritius","0.34",""
"1","Other wooded land","1","Total growing stock","2005","164","Lithuania","2.2",""
"1","Other wooded land","1","Total growing stock","2005","23","Madagascar","767",""
"1","Other wooded land","1","Total growing stock","2005","34","Maldives","0",""
"1","Other wooded land","1","Total growing stock","2005","68","Mali","77.274",""
"1","Other wooded land","1","Total growing stock","2005","174","Guatemala","53",""
"1","Other wooded land","1","Total growing stock","2005","113","Guam","0",""
"1","Other wooded land","1","Total growing stock","2005","67","Guinea-Bissau","0.75",""
"1","Other wooded land","1","Total growing stock","2005","643000370","Guernsey","0",""
"1","Other wooded land","1","Total growing stock","2005","66","Gambia","2.1",""
"1","Other wooded land","1","Total growing stock","2005","209","French Guiana","0",""
"1","Other wooded land","1","Total growing stock","2005","189","Guadeloupe","0.02",""
"1","Other wooded land","1","Total growing stock","2005","7655146","Gibraltar","0",""
"1","Other wooded land","1","Total growing stock","2005","191","Jamaica","24.19",""
"1","Other wooded land","1","Total growing stock","2005","137","Italy","62.2",""
"1","Other wooded land","1","Total growing stock","2005","161","Kazakhstan","11.9",""
"1","Other wooded land","1","Total growing stock","2005","643000371","Jersey","0",""
"1","Other wooded land","1","Total growing stock","2005","149","Hungary","0",""
"1","Other wooded land","1","Total growing stock","2005","7657948","Holy See","0",""
"1","Other wooded land","1","Total growing stock","2005","7655849","Isle of Man","0",""
"1","Other wooded land","1","Total growing stock","2005","127","Iceland","0.74",""
"1","Other wooded land","1","Total growing stock","2010","28","South Africa","491",""
"1","Other wooded land","1","Total growing stock","2010","154","Slovenia","1.3",""
"1","Other wooded land","1","Total growing stock","2010","85","Singapore","0",""
"1","Other wooded land","1","Total growing stock","2010","2","Sierra Leone","2.84",""
"1","Other wooded land","1","Total growing stock","2010","29","Swaziland","5",""
"1","Other wooded land","1","Total growing stock","2010","643000374","Svalbard and Jan Mayen Islands","0",""
"1","Other wooded land","1","Total growing stock","2010","74","Sudan","402",""
"1","Other wooded land","1","Total growing stock","2010","50","Spain","1.71",""
"1","Other wooded land","1","Total growing stock","2010","197","Saint Pierre and Miquelon","0",""
"1","Other wooded land","1","Total growing stock","2010","196","Saint Lucia","0",""
"1","Other wooded land","1","Total growing stock","2010","25","Réunion","1",""
"1","Other wooded land","1","Total growing stock","2010","10","Rwanda","1.83",""
"1","Other wooded land","1","Total growing stock","2010","71","Senegal","23",""
"1","Other wooded land","1","Total growing stock","2010","97","Saudi Arabia","5.6",""
"1","Other wooded land","1","Total growing stock","2010","7655310","San Marino","0",""
"1","Other wooded land","1","Total growing stock","2010","198","Saint Vincent and the Grenadines","0",""
"1","Other wooded land","1","Total growing stock","2010","84","Philippines","222.7",""
"1","Other wooded land","1","Total growing stock","2010","150","Poland","0",""
"1","Other wooded land","1","Total growing stock","2010","178","Panama","13",""
"1","Other wooded land","1","Total growing stock","2010","118","Papua New Guinea","70",""
"1","Other wooded land","1","Total growing stock","2010","165","Republic of Moldova","3.6",""
"1","Other wooded land","1","Total growing stock","2010","166","Russian Federation","1775.35",""
"1","Other wooded land","1","Total growing stock","2010","141","Portugal","1.8",""
"1","Other wooded land","1","Total growing stock","2010","106","Republic of Korea","0",""
"1","Other wooded land","1","Total growing stock","2010","116","Niue","0",""
"1","Other wooded land","1","Total growing stock","2010","643000372","Norfolk Island","0",""
"1","Other wooded land","1","Total growing stock","2010","124","New Zealand","258",""
