"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"0","Forest","0","Above-ground biomass","1990","129","Austria","540",""
"0","Forest","0","Above-ground biomass","1990","123","Australia","9474",""
"0","Forest","0","Above-ground biomass","1990","31","Bangladesh","148",""
"0","Forest","0","Above-ground biomass","1990","157","Azerbaijan","98.58",""
"0","Forest","0","Above-ground biomass","1990","130","Belgium","80.6",""
"0","Forest","0","Above-ground biomass","1990","158","Belarus","629.7",""
"0","Forest","0","Above-ground biomass","1990","55","Benin","568.9",""
"0","Forest","0","Above-ground biomass","1990","171","Belize","335",""
"0","Forest","0","Above-ground biomass","1990","86","Afghanistan","63.4",""
"0","Forest","0","Above-ground biomass","1990","45","Algeria","134",""
"0","Forest","0","Above-ground biomass","1990","144","Albania","74.6",""
"0","Forest","0","Above-ground biomass","1990","13","Angola","7847",""
"0","Forest","0","Above-ground biomass","1990","109","American Samoa","3.252",""
"0","Forest","0","Above-ground biomass","1990","156","Armenia","28.6",""
"0","Forest","0","Above-ground biomass","1990","215","Argentina","5626",""
"0","Forest","1","Below-ground biomass","1990","69","Mauritania","5.8",""
"0","Forest","1","Below-ground biomass","1990","24","Mauritius","1.05",""
"0","Forest","1","Below-ground biomass","1990","139","Malta","0.02",""
"0","Forest","1","Below-ground biomass","1990","5293301","Marshall Islands","0.98",""
"0","Forest","1","Below-ground biomass","1990","83","Malaysia","1162",""
"0","Forest","1","Below-ground biomass","1990","68","Mali","147.73",""
"0","Forest","1","Below-ground biomass","1990","23","Madagascar","732",""
"0","Forest","1","Below-ground biomass","1990","15","Malawi","71",""
"0","Forest","1","Below-ground biomass","1990","164","Lithuania","50.1",""
"0","Forest","1","Below-ground biomass","1990","131","Luxembourg","1.92",""
"0","Forest","1","Below-ground biomass","1990","58","Libyan Arab Jamahiriya","2.17",""
"0","Forest","1","Below-ground biomass","1990","138","Liechtenstein","0.19",""
"0","Forest","1","Below-ground biomass","1990","27","Lesotho","0.87",""
"0","Forest","1","Below-ground biomass","1990","78","Liberia","274.27",""
"0","Forest","1","Below-ground biomass","1990","39","Lao People's Democratic Republic","421",""
"0","Forest","1","Below-ground biomass","1990","163","Latvia","93.81",""
"0","Forest","1","Below-ground biomass","1990","162","Kyrgyzstan","17.04",""
"0","Forest","1","Below-ground biomass","1990","73","Kenya","216.3",""
"0","Forest","1","Below-ground biomass","1990","161","Kazakhstan","62.94",""
"0","Forest","1","Below-ground biomass","1990","92","Jordan","1.51",""
"0","Forest","1","Below-ground biomass","1990","103","Japan","470",""
"0","Forest","1","Below-ground biomass","1990","191","Jamaica","23.07",""
"0","Forest","1","Below-ground biomass","1990","137","Italy","157.5",""
"0","Forest","1","Below-ground biomass","1990","91","Israel","1.9",""
"0","Forest","1","Below-ground biomass","1990","136","Ireland","6.3",""
"0","Forest","1","Below-ground biomass","1990","89","Iran (Islamic Republic of)","116",""
"0","Forest","1","Below-ground biomass","1990","82","Indonesia","8624",""
"0","Forest","1","Below-ground biomass","1990","33","India","825",""
"0","Forest","1","Below-ground biomass","1990","127","Iceland","0.04",""
"0","Forest","1","Below-ground biomass","1990","149","Hungary","47",""
"0","Forest","1","Below-ground biomass","1990","175","Honduras","213",""
"0","Forest","1","Below-ground biomass","1990","7657948","Holy See","0",""
"0","Forest","1","Below-ground biomass","1990","165","Republic of Moldova","8.9",""
"0","Forest","1","Below-ground biomass","1990","152","Romania","238",""
"0","Forest","1","Below-ground biomass","1990","166","Russian Federation","12904",""
"0","Forest","1","Below-ground biomass","1990","10","Rwanda","14.3",""
"0","Forest","1","Below-ground biomass","1990","150","Poland","301",""
"0","Forest","1","Below-ground biomass","1990","7665786","Puerto Rico","3.644",""
"0","Forest","1","Below-ground biomass","1990","96","Qatar","0",""
"0","Forest","1","Below-ground biomass","1990","106","Republic of Korea","59",""
"0","Forest","1","Below-ground biomass","1990","178","Panama","176",""
"0","Forest","1","Below-ground biomass","1990","118","Papua New Guinea","899.6",""
"0","Forest","1","Below-ground biomass","1990","212","Peru","3637",""
"0","Forest","1","Below-ground biomass","1990","84","Philippines","264.1",""
"0","Forest","1","Below-ground biomass","1990","5293394","Northern Mariana Islands","1.433",""
"0","Forest","1","Below-ground biomass","1990","126","Norway","83",""
"0","Forest","1","Below-ground biomass","1990","36","Pakistan","181",""
"0","Forest","1","Below-ground biomass","1990","5294032","Palau","4.29",""
"0","Forest","1","Below-ground biomass","1990","177","Nicaragua","208.5",""
"0","Forest","1","Below-ground biomass","1990","115","New Caledonia","21.22",""
"0","Forest","1","Below-ground biomass","1990","1","Nigeria","830",""
"0","Forest","1","Below-ground biomass","1990","70","Niger","28",""
"0","Forest","1","Below-ground biomass","1990","5293372","Nauru","0",""
"0","Forest","1","Below-ground biomass","1990","17","Namibia","114.3",""
"0","Forest","1","Below-ground biomass","1990","140","Netherlands","7",""
"0","Forest","1","Below-ground biomass","1990","35","Nepal","332",""
"0","Forest","1","Below-ground biomass","1990","57","Morocco","93",""
"0","Forest","1","Below-ground biomass","1990","643000290","Montenegro","17.27",""
"0","Forest","1","Below-ground biomass","1990","40","Myanmar","724",""
"0","Forest","1","Below-ground biomass","1990","16","Mozambique","838",""
"0","Forest","1","Below-ground biomass","1990","4921994","Micronesia (Federated States of)","8.59",""
"0","Forest","1","Below-ground biomass","1990","176","Mexico","806",""
"0","Forest","1","Below-ground biomass","1990","107","Mongolia","276",""
"0","Forest","1","Below-ground biomass","1990","7655168","Monaco","0",""
"0","Forest","1","Below-ground biomass","1990","121","Tonga","0.36",""
"0","Forest","1","Below-ground biomass","1990","199","Trinidad and Tobago","8.03",""
"0","Forest","1","Below-ground biomass","1990","151","The former Yugoslav Republic of Macedonia","26.4",""
"0","Forest","1","Below-ground biomass","1990","642354615","Tokelau","0",""
"0","Forest","1","Below-ground biomass","1990","168","Turkmenistan","7.2",""
"0","Forest","1","Below-ground biomass","1990","56","Uganda","77.5",""
"0","Forest","1","Below-ground biomass","1990","54","Tunisia","3.2",""
"0","Forest","1","Below-ground biomass","1990","99","Turkey","292.104",""
"0","Forest","1","Below-ground biomass","1990","643000374","Svalbard and Jan Mayen Islands","0",""
"0","Forest","1","Below-ground biomass","1990","29","Swaziland","9.3",""
"0","Forest","1","Below-ground biomass","1990","74","Sudan","708",""
"0","Forest","1","Below-ground biomass","1990","213","Suriname","1303",""
"0","Forest","1","Below-ground biomass","1990","167","Tajikistan","1.7",""
"0","Forest","1","Below-ground biomass","1990","41","Thailand","411",""
"0","Forest","1","Below-ground biomass","1990","128","Sweden","446.5",""
"0","Forest","1","Below-ground biomass","1990","142","Switzerland","60",""
"0","Forest","1","Below-ground biomass","1990","120","Solomon Islands","78.6",""
"0","Forest","1","Below-ground biomass","1990","154","Slovenia","51.4",""
"0","Forest","1","Below-ground biomass","1990","153","Slovakia","58.1",""
"0","Forest","1","Below-ground biomass","1990","2","Sierra Leone","101.77",""
"0","Forest","1","Below-ground biomass","1990","37","Sri Lanka","31.8",""
"0","Forest","1","Below-ground biomass","1990","50","Spain","181.49",""
"0","Forest","1","Below-ground biomass","1990","28","South Africa","359",""
"0","Forest","1","Below-ground biomass","1990","46","Somalia","199",""
"0","Forest","1","Below-ground biomass","1990","11","Sao Tome and Principe","1.6",""
"0","Forest","1","Below-ground biomass","1990","7655310","San Marino","0",""
"0","Forest","1","Below-ground biomass","1990","643000373","Saint-Barthélemy","0",""
"0","Forest","1","Below-ground biomass","1990","25","Réunion","2.1",""
"0","Forest","1","Below-ground biomass","1990","26","Seychelles","1.47",""
"0","Forest","1","Below-ground biomass","1990","155","Serbia","58.5",""
"0","Forest","1","Below-ground biomass","1990","71","Senegal","189",""
"0","Forest","1","Below-ground biomass","1990","97","Saudi Arabia","2.76",""
"0","Forest","1","Below-ground biomass","2000","130","Belgium","23.25",""
"0","Forest","1","Below-ground biomass","2000","171","Belize","76",""
"0","Forest","1","Below-ground biomass","2000","55","Benin","120",""
"0","Forest","1","Below-ground biomass","2000","32","Bhutan","181",""
"0","Forest","1","Below-ground biomass","2000","205","Bolivia (plurinational state of)","1922",""
"0","Forest","1","Below-ground biomass","2000","145","Bosnia and Herzegovina","45.636",""
"0","Forest","1","Below-ground biomass","2000","14","Botswana","506",""
"0","Forest","1","Below-ground biomass","2000","206","Brazil","21585.08",""
"0","Forest","1","Below-ground biomass","2000","13","Angola","1845",""
"0","Forest","1","Below-ground biomass","2000","215","Argentina","1383",""
"0","Forest","1","Below-ground biomass","2000","156","Armenia","5.78",""
"0","Forest","1","Below-ground biomass","2000","123","Australia","3957",""
"0","Forest","1","Below-ground biomass","2000","129","Austria","176",""
"0","Forest","1","Below-ground biomass","2000","157","Azerbaijan","17.25",""
"0","Forest","1","Below-ground biomass","2000","31","Bangladesh","29",""
"0","Forest","1","Below-ground biomass","2000","158","Belarus","238",""
"0","Forest","1","Below-ground biomass","1990","101","Yemen","3.3",""
"0","Forest","1","Below-ground biomass","1990","4054","Western Sahara","15.07",""
"0","Forest","1","Below-ground biomass","1990","21","Zimbabwe","315",""
"0","Forest","1","Below-ground biomass","1990","20","Zambia","1061.91",""
"0","Forest","1","Below-ground biomass","2000","144","Albania","23.8",""
"0","Forest","1","Below-ground biomass","2000","86","Afghanistan","17.8",""
"0","Forest","1","Below-ground biomass","2000","109","American Samoa","0.766",""
"0","Forest","1","Below-ground biomass","2000","45","Algeria","31",""
"0","Forest","1","Below-ground biomass","1990","100","United Arab Emirates","7.83",""
"0","Forest","1","Below-ground biomass","1990","169","Ukraine","194",""
"0","Forest","1","Below-ground biomass","1990","19","United Republic of Tanzania","1032",""
"0","Forest","1","Below-ground biomass","1990","143","United Kingdom","28",""
"0","Forest","1","Below-ground biomass","1990","200","United States of America","5621",""
"0","Forest","1","Below-ground biomass","1990","202","United States Virgin Islands","0.236",""
"0","Forest","1","Below-ground biomass","1990","79","Viet Nam","356",""
"0","Forest","1","Below-ground biomass","1990","170","Uzbekistan","5.08",""
"0","Forest","1","Below-ground biomass","2000","132","Denmark","6.7",""
"0","Forest","1","Below-ground biomass","2000","12","Democratic Republic of the Congo","8251",""
"0","Forest","1","Below-ground biomass","2000","105","Democratic People's Republic of Korea","118",""
"0","Forest","1","Below-ground biomass","2000","75","Côte d'Ivoire","362",""
"0","Forest","1","Below-ground biomass","2000","148","Czech Republic","105.5",""
"0","Forest","1","Below-ground biomass","2000","88","Cyprus","1.324",""
