"FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"2","Reforestation","2005","38","Cambodia","5855",""
"2","Reforestation","2005","6","Central African Republic","350",""
"2","Reforestation","2005","146","Bulgaria","2799",""
"2","Reforestation","2005","4","Burundi","0",""
"2","Reforestation","2005","102","China","304000",""
"2","Reforestation","2005","207","Colombia","10928.77",""
"2","Reforestation","2005","65","Chad","300",""
"2","Reforestation","2005","216","Chile","59956",""
"2","Reforestation","2005","158","Belarus","34362",""
"2","Reforestation","2005","130","Belgium","2786",""
"2","Reforestation","2005","180","Bahamas","0",""
"2","Reforestation","2005","181","Barbados","0",""
"2","Reforestation","2005","206","Brazil","553000",""
"2","Reforestation","2005","81","Brunei Darussalam","400",""
"2","Reforestation","2005","55","Benin","800",""
"2","Reforestation","2005","32","Bhutan","60.82",""
"2","Reforestation","2005","62","Eritrea","0",""
"2","Reforestation","2005","8","Equatorial Guinea","0",""
"2","Reforestation","2005","208","Ecuador","5000",""
"2","Reforestation","2005","187","Dominican Republic","5768",""
"2","Reforestation","2005","111","Fiji","44",""
"2","Reforestation","2005","7653870","Falkland Islands","0",""
"2","Reforestation","2005","60","Ethiopia","3300",""
"2","Reforestation","2005","159","Estonia","9262",""
"2","Reforestation","2005","147","Croatia","4509.74",""
"2","Reforestation","2005","172","Costa Rica","3799",""
"2","Reforestation","2005","7","Congo","66",""
"2","Reforestation","2005","22","Comoros","110",""
"2","Reforestation","2005","132","Denmark","2115",""
"2","Reforestation","2005","75","C?te d'Ivoire","6000",""
"2","Reforestation","2005","148","Czech Republic","21271",""
"2","Reforestation","2005","88","Cyprus","187",""
"2","Reforestation","2005","189","Guadeloupe","0",""
"2","Reforestation","2005","174","Guatemala","10929",""
"2","Reforestation","2005","77","Guinea","0",""
"2","Reforestation","2005","210","Guyana","0",""
"2","Reforestation","2005","190","Haiti","800",""
"2","Reforestation","2005","7657948","Holy See","0",""
"2","Reforestation","2005","149","Hungary","20061",""
"2","Reforestation","2005","127","Iceland","0",""
"2","Reforestation","2005","125","Finland","133680",""
"2","Reforestation","2005","209","French Guiana","0",""
"2","Reforestation","2005","112","French Polynesia","10",""
"2","Reforestation","2005","9","Gabon","0",""
