"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Other wooded land","4","Carbon in living biomass","1990","34","Maldives","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","68","Mali","141.71",""
"1","Other wooded land","4","Carbon in living biomass","1990","139","Malta","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","5293301","Marshall Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","69","Mauritania","46.8",""
"1","Other wooded land","4","Carbon in living biomass","1990","24","Mauritius","0.65",""
"1","Other wooded land","4","Carbon in living biomass","1990","161","Kazakhstan","4.02",""
"1","Other wooded land","4","Carbon in living biomass","1990","73","Kenya","352.7",""
"1","Other wooded land","4","Carbon in living biomass","1990","114","Kiribati","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","93","Kuwait","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","39","Lao People's Democratic Republic","23",""
"1","Other wooded land","4","Carbon in living biomass","1990","163","Latvia","0.82",""
"1","Other wooded land","4","Carbon in living biomass","1990","27","Lesotho","1.16",""
"1","Other wooded land","4","Carbon in living biomass","1990","58","Libyan Arab Jamahiriya","1.66",""
"1","Other wooded land","4","Carbon in living biomass","1990","140","Netherlands","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","35","Nepal","28",""
"1","Other wooded land","4","Carbon in living biomass","1990","116","Niue","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","70","Niger","50",""
"1","Other wooded land","4","Carbon in living biomass","1990","5293394","Northern Mariana Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","643000372","Norfolk Island","0",""
