"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Other wooded land","0","Carbon in above-ground biomass","2005","7656243","Aruba","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","102","China","292.6",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","65","Chad","158",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","184","Cayman Islands","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","5","Cameroon","138",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","67","Guinea-Bissau","1",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","7657948","Holy See","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","174","Guatemala","23.6",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","643000370","Guernsey","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","7655849","Isle of Man","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","137","Italy","22",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","149","Hungary","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","127","Iceland","0.77",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","125","Finland","3.71",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","209","French Guiana","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","60","Ethiopia","172",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","7653870","Falkland Islands","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","189","Guadeloupe","0.01",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","113","Guam","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","66","Gambia","4.17",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","7655146","Gibraltar","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","29","Swaziland","3.2",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","643000374","Svalbard and Jan Mayen Islands","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","167","Tajikistan","0.28",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","128","Sweden","7.7",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","642354615","Tokelau","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","7655420","Timor-Leste","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","199","Trinidad and Tobago","2.71",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","121","Tonga","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","97","Saudi Arabia","3.15",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","7655310","San Marino","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","2","Sierra Leone","10.55",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","71","Senegal","18",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","154","Slovenia","0.8",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","85","Singapore","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","74","Sudan","485",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","28","South Africa","669.3",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","101","Yemen","8.54",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","20","Zambia","83.88",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","144","Albania","3",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","45","Algeria","3",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","109","American Samoa","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","7656221","Anguilla","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","215","Argentina","1078",""
"1","Other wooded land","0","Carbon in above-ground biomass","2005","156","Armenia","1.13",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","54","Tunisia","0.4",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","7665808","Turks and Caicos Islands","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","4921972","Tuvalu","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","56","Uganda","11.2",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","100","United Arab Emirates","0.071",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","143","United Kingdom","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","19","United Republic of Tanzania","630",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","4054","Western Sahara","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","643000372","Norfolk Island","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","116","Niue","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","70","Niger","31",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","140","Netherlands","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","35","Nepal","29",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","5293372","Nauru","0",""
"1","Other wooded land","0","Carbon in above-ground biomass","2000","17","Namibia","111.11",""
